Date,Open,High,Low,Last Close
01/05/2018,219,219,219,219
01/08/2018,221,221,221,221
01/09/2018,223,223,223,223
01/10/2018,221,221,221,221
01/11/2018,220,220,220,220
01/12/2018,221,221,221,221
01/15/2018,219,219,219,219
01/16/2018,220,220,220,220
01/17/2018,220,220,220,220
01/18/2018,220,220,220,220
01/19/2018,221,221,221,221
01/22/2018,221,221,221,221
01/23/2018,223,223,223,223
01/24/2018,221,221,221,221
01/25/2018,219,219,219,219
01/26/2018,221,221,221,221
01/29/2018,223,223,223,223
01/30/2018,220,220,220,220
01/31/2018,219,219,219,219
02/01/2018,218,218,218,218
02/05/2018,213,213,213,213
02/06/2018,203,203,203,203
02/08/2018,208,208,208,208
02/09/2018,204,204,204,204
02/12/2018,207,207,207,207
02/13/2018,207,207,207,207
02/14/2018,208,208,208,208
02/15/2018,209,209,209,209
02/16/2018,213,213,213,213
02/19/2018,212,212,212,212
02/20/2018,212,214,212,214
02/21/2018,214,214,214,214
02/22/2018,213,213,213,213
02/23/2018,214,214,214,214
02/26/2018,216,217,216,217
02/27/2018,218,218,218,218
02/28/2018,217,217,217,217
03/01/2018,214,214,214,214
03/02/2018,209,209,209,209
03/05/2018,212,212,212,212
03/06/2018,211,211,211,211
03/07/2018,212,212,212,212
03/08/2018,214,214,214,214
03/09/2018,217,217,217,217
03/12/2018,219,219,219,219
03/13/2018,216,216,216,216
03/14/2018,217,217,215,215
03/15/2018,216,216,216,216
03/16/2018,217,217,217,217
03/19/2018,213,213,213,213
03/20/2018,213,213,213,213
03/21/2018,215,215,215,215
03/22/2018,210,210,210,210
03/23/2018,206,206,206,206
03/27/2018,207,207,207,207
03/28/2018,203,203,203,203
03/29/2018,207,207,207,207
04/03/2018,207,207,205,205
04/04/2018,205,205,205,205
04/05/2018,211,211,211,211
04/06/2018,207,207,207,207
04/09/2018,207,207,207,207
04/10/2018,208,208,208,208
04/11/2018,207,207,207,207
04/12/2018,209,209,209,209
04/13/2018,209,209,209,209
04/16/2018,209,209,209,209
04/17/2018,212,212,212,212
04/18/2018,212,212,212,212
04/19/2018,211,211,211,211
04/20/2018,211,211,211,211
04/23/2018,212,212,212,212
04/24/2018,211,211,211,211
04/25/2018,209,209,209,209
04/26/2018,212,212,212,212
04/27/2018,213,213,213,213
04/30/2018,214,214,214,214
05/02/2018,214,214,214,214
05/03/2018,210,210,210,210
05/04/2018,215,215,215,215
05/07/2018,217,217,217,217
05/08/2018,218,218,218,218
05/09/2018,219,219,219,219
05/11/2018,221,221,221,221
05/14/2018,221,221,221,221
05/15/2018,221,221,221,221
05/16/2018,223,223,223,223
05/17/2018,224,224,224,224
05/18/2018,224,224,224,224
05/22/2018,225,225,225,225
05/23/2018,225,225,225,225
05/24/2018,226,226,225,225
05/25/2018,226,226,226,226
05/28/2018,227,227,227,227
05/29/2018,226,226,226,226
06/04/2018,227,227,227,227
06/05/2018,228,228,228,228
06/06/2018,227,227,227,227
06/07/2018,227,227,227,227
06/08/2018,228,228,228,228
06/11/2018,229,229,229,229
06/12/2018,229,229,229,229
06/13/2018,230,230,230,230
06/14/2018,232,232,232,232
06/15/2018,231,231,231,231
06/18/2018,231,231,231,231
06/19/2018,231,231,231,231
06/20/2018,232,232,232,232
