Date,Open,High,Low,Last Close
10/01/2024,553,553,548,553
10/02/2024,553,553,545,548
10/03/2024,553,553,545,548
10/04/2024,547,554,547,550
10/07/2024,553,553,552,553
10/08/2024,553,554,549,554
10/09/2024,553,559,553,559
10/10/2024,553,560,553,560
10/11/2024,553,562,553,562
10/14/2024,563,564,558,558
10/15/2024,568,569,567,567
10/16/2024,566,567,565,567
10/17/2024,572,575,572,573
10/18/2024,572,572,571,572
10/21/2024,572,572,569,569
10/22/2024,571,572,570,572
10/23/2024,573,573,571,571
10/24/2024,571,571,569,569
10/25/2024,569,571,569,571
10/28/2024,572,572,571,571
10/29/2024,573,573,570,572
10/30/2024,573,573,569,569
10/31/2024,573,573,559,559
