Epoch [1/100], Train Loss: 0.0195, Val Loss: 0.0058, Val MAPE: 7.26%
Epoch [2/100], Train Loss: 0.0008, Val Loss: 0.0010, Val MAPE: 3.72%
Epoch [3/100], Train Loss: 0.0003, Val Loss: 0.0016, Val MAPE: 3.95%
Epoch [4/100], Train Loss: 0.0002, Val Loss: 0.0024, Val MAPE: 4.50%
Epoch [5/100], Train Loss: 0.0002, Val Loss: 0.0041, Val MAPE: 6.22%
Epoch [6/100], Train Loss: 0.0002, Val Loss: 0.0037, Val MAPE: 5.68%
Epoch [7/100], Train Loss: 0.0002, Val Loss: 0.0028, Val MAPE: 4.76%
Epoch [8/100], Train Loss: 0.0002, Val Loss: 0.0050, Val MAPE: 7.32%
Epoch [9/100], Train Loss: 0.0002, Val Loss: 0.0025, Val MAPE: 4.45%
Epoch [10/100], Train Loss: 0.0002, Val Loss: 0.0025, Val MAPE: 4.46%
Epoch [11/100], Train Loss: 0.0002, Val Loss: 0.0046, Val MAPE: 7.05%
Epoch [12/100], Train Loss: 0.0002, Val Loss: 0.0018, Val MAPE: 3.75%
Epoch [13/100], Train Loss: 0.0002, Val Loss: 0.0032, Val MAPE: 5.40%
Epoch [14/100], Train Loss: 0.0002, Val Loss: 0.0023, Val MAPE: 4.39%
Epoch [15/100], Train Loss: 0.0002, Val Loss: 0.0044, Val MAPE: 7.02%
Epoch [16/100], Train Loss: 0.0002, Val Loss: 0.0016, Val MAPE: 3.55%
Epoch [17/100], Train Loss: 0.0002, Val Loss: 0.0022, Val MAPE: 4.32%
Epoch [18/100], Train Loss: 0.0002, Val Loss: 0.0018, Val MAPE: 3.99%
Epoch [19/100], Train Loss: 0.0001, Val Loss: 0.0012, Val MAPE: 3.16%
Epoch [20/100], Train Loss: 0.0002, Val Loss: 0.0021, Val MAPE: 4.45%
Epoch [21/100], Train Loss: 0.0001, Val Loss: 0.0033, Val MAPE: 6.07%
Epoch [22/100], Train Loss: 0.0002, Val Loss: 0.0025, Val MAPE: 4.89%
Epoch [23/100], Train Loss: 0.0001, Val Loss: 0.0019, Val MAPE: 4.15%
Epoch [24/100], Train Loss: 0.0001, Val Loss: 0.0011, Val MAPE: 3.02%
Epoch [25/100], Train Loss: 0.0001, Val Loss: 0.0017, Val MAPE: 4.04%
Epoch [26/100], Train Loss: 0.0001, Val Loss: 0.0009, Val MAPE: 2.69%
Epoch [27/100], Train Loss: 0.0001, Val Loss: 0.0009, Val MAPE: 2.78%
Epoch [28/100], Train Loss: 0.0001, Val Loss: 0.0008, Val MAPE: 2.51%
Epoch [29/100], Train Loss: 0.0001, Val Loss: 0.0012, Val MAPE: 3.26%
Epoch [30/100], Train Loss: 0.0001, Val Loss: 0.0024, Val MAPE: 5.42%
Epoch [31/100], Train Loss: 0.0001, Val Loss: 0.0015, Val MAPE: 3.83%
Epoch [32/100], Train Loss: 0.0001, Val Loss: 0.0004, Val MAPE: 1.96%
Epoch [33/100], Train Loss: 0.0001, Val Loss: 0.0005, Val MAPE: 2.13%
Epoch [34/100], Train Loss: 0.0001, Val Loss: 0.0008, Val MAPE: 2.64%
Epoch [35/100], Train Loss: 0.0001, Val Loss: 0.0006, Val MAPE: 2.18%
Epoch [36/100], Train Loss: 0.0001, Val Loss: 0.0006, Val MAPE: 2.23%
Epoch [37/100], Train Loss: 0.0001, Val Loss: 0.0008, Val MAPE: 2.82%
Epoch [38/100], Train Loss: 0.0001, Val Loss: 0.0003, Val MAPE: 1.65%
Epoch [39/100], Train Loss: 0.0001, Val Loss: 0.0022, Val MAPE: 5.45%
Epoch [40/100], Train Loss: 0.0001, Val Loss: 0.0014, Val MAPE: 4.12%
Epoch [41/100], Train Loss: 0.0001, Val Loss: 0.0005, Val MAPE: 2.21%
Epoch [42/100], Train Loss: 0.0001, Val Loss: 0.0002, Val MAPE: 1.28%
Epoch [43/100], Train Loss: 0.0001, Val Loss: 0.0006, Val MAPE: 2.49%
Epoch [44/100], Train Loss: 0.0001, Val Loss: 0.0002, Val MAPE: 1.41%
Epoch [45/100], Train Loss: 0.0001, Val Loss: 0.0010, Val MAPE: 3.47%
Epoch [46/100], Train Loss: 0.0001, Val Loss: 0.0002, Val MAPE: 1.26%
