Starting script...
Starting hyperparameter optimization...
Trial 0: MAPE = 6.62%, Params = {'time_steps': 5, 'hidden_size': 55, 'num_layers': 2, 'learning_rate': 0.020241443005684312, 'batch_size': 16, 'num_epochs': 364}
Trial 1: MAPE = 41.22%, Params = {'time_steps': 6, 'hidden_size': 77, 'num_layers': 5, 'learning_rate': 0.00028926917973320145, 'batch_size': 128, 'num_epochs': 117}
Trial 2: MAPE = 7.87%, Params = {'time_steps': 5, 'hidden_size': 28, 'num_layers': 1, 'learning_rate': 0.0002564314470838364, 'batch_size': 16, 'num_epochs': 333}
Trial 3: MAPE = inf%, Params = {'time_steps': 1, 'hidden_size': 78, 'num_layers': 1, 'learning_rate': 0.0042596141368221145, 'batch_size': 64, 'num_epochs': 105}
Trial 4: MAPE = 9.94%, Params = {'time_steps': 6, 'hidden_size': 79, 'num_layers': 5, 'learning_rate': 0.008647992598464554, 'batch_size': 128, 'num_epochs': 316}
Trial 5: MAPE = 9.25%, Params = {'time_steps': 12, 'hidden_size': 84, 'num_layers': 3, 'learning_rate': 0.017151092943400732, 'batch_size': 128, 'num_epochs': 434}
Trial 6: MAPE = 2.44%, Params = {'time_steps': 19, 'hidden_size': 93, 'num_layers': 2, 'learning_rate': 0.0020644105282374143, 'batch_size': 64, 'num_epochs': 190}
Trial 7: MAPE = 11.25%, Params = {'time_steps': 9, 'hidden_size': 12, 'num_layers': 4, 'learning_rate': 0.0005675670512196704, 'batch_size': 32, 'num_epochs': 340}
Trial 8: MAPE = 3.11%, Params = {'time_steps': 17, 'hidden_size': 82, 'num_layers': 4, 'learning_rate': 0.0001313616053048393, 'batch_size': 32, 'num_epochs': 325}
Trial 9: MAPE = 11.28%, Params = {'time_steps': 5, 'hidden_size': 38, 'num_layers': 3, 'learning_rate': 0.00030322080305930855, 'batch_size': 32, 'num_epochs': 324}
Trial 10: MAPE = 18.00%, Params = {'time_steps': 19, 'hidden_size': 100, 'num_layers': 2, 'learning_rate': 0.07647397579173773, 'batch_size': 64, 'num_epochs': 207}
