Epoch [1/1000], Train Loss: 0.0189, Val Loss: 0.0095, Val MAPE: 10.27%
Epoch [2/1000], Train Loss: 0.0006, Val Loss: 0.0003, Val MAPE: 1.88%
Epoch [3/1000], Train Loss: 0.0002, Val Loss: 0.0030, Val MAPE: 5.11%
Epoch [4/1000], Train Loss: 0.0002, Val Loss: 0.0046, Val MAPE: 6.46%
Epoch [5/1000], Train Loss: 0.0002, Val Loss: 0.0044, Val MAPE: 6.32%
Epoch [6/1000], Train Loss: 0.0002, Val Loss: 0.0049, Val MAPE: 6.74%
Epoch [7/1000], Train Loss: 0.0002, Val Loss: 0.0050, Val MAPE: 6.97%
Epoch [8/1000], Train Loss: 0.0002, Val Loss: 0.0037, Val MAPE: 5.67%
Epoch [9/1000], Train Loss: 0.0002, Val Loss: 0.0038, Val MAPE: 5.92%
Epoch [10/1000], Train Loss: 0.0002, Val Loss: 0.0038, Val MAPE: 5.83%
Epoch [11/1000], Train Loss: 0.0002, Val Loss: 0.0046, Val MAPE: 6.76%
Epoch [12/1000], Train Loss: 0.0002, Val Loss: 0.0046, Val MAPE: 6.67%
Epoch [13/1000], Train Loss: 0.0002, Val Loss: 0.0028, Val MAPE: 4.82%
Epoch [14/1000], Train Loss: 0.0002, Val Loss: 0.0038, Val MAPE: 6.05%
Epoch [15/1000], Train Loss: 0.0002, Val Loss: 0.0023, Val MAPE: 4.29%
Epoch [16/1000], Train Loss: 0.0002, Val Loss: 0.0020, Val MAPE: 4.00%
Epoch [17/1000], Train Loss: 0.0002, Val Loss: 0.0029, Val MAPE: 5.08%
Epoch [18/1000], Train Loss: 0.0002, Val Loss: 0.0026, Val MAPE: 4.76%
Epoch [19/1000], Train Loss: 0.0002, Val Loss: 0.0026, Val MAPE: 4.89%
Epoch [20/1000], Train Loss: 0.0002, Val Loss: 0.0016, Val MAPE: 3.58%
Epoch [21/1000], Train Loss: 0.0002, Val Loss: 0.0047, Val MAPE: 7.40%
Epoch [22/1000], Train Loss: 0.0002, Val Loss: 0.0027, Val MAPE: 5.03%
Epoch [23/1000], Train Loss: 0.0001, Val Loss: 0.0021, Val MAPE: 4.30%
Epoch [24/1000], Train Loss: 0.0001, Val Loss: 0.0010, Val MAPE: 2.91%
Epoch [25/1000], Train Loss: 0.0002, Val Loss: 0.0013, Val MAPE: 3.19%
Epoch [26/1000], Train Loss: 0.0001, Val Loss: 0.0012, Val MAPE: 3.07%
Epoch [27/1000], Train Loss: 0.0002, Val Loss: 0.0019, Val MAPE: 4.22%
Epoch [28/1000], Train Loss: 0.0001, Val Loss: 0.0022, Val MAPE: 4.79%
Epoch [29/1000], Train Loss: 0.0001, Val Loss: 0.0017, Val MAPE: 4.11%
Epoch [30/1000], Train Loss: 0.0001, Val Loss: 0.0009, Val MAPE: 2.71%
Epoch [31/1000], Train Loss: 0.0001, Val Loss: 0.0008, Val MAPE: 2.61%
Epoch [32/1000], Train Loss: 0.0001, Val Loss: 0.0008, Val MAPE: 2.53%
Epoch [33/1000], Train Loss: 0.0001, Val Loss: 0.0010, Val MAPE: 3.01%
Epoch [34/1000], Train Loss: 0.0001, Val Loss: 0.0007, Val MAPE: 2.38%
Epoch [35/1000], Train Loss: 0.0001, Val Loss: 0.0015, Val MAPE: 4.05%
Epoch [36/1000], Train Loss: 0.0001, Val Loss: 0.0006, Val MAPE: 2.14%
Epoch [37/1000], Train Loss: 0.0001, Val Loss: 0.0011, Val MAPE: 3.14%
Epoch [38/1000], Train Loss: 0.0001, Val Loss: 0.0003, Val MAPE: 1.58%
Epoch [39/1000], Train Loss: 0.0001, Val Loss: 0.0005, Val MAPE: 1.88%
Epoch [40/1000], Train Loss: 0.0001, Val Loss: 0.0005, Val MAPE: 1.97%
Epoch [41/1000], Train Loss: 0.0001, Val Loss: 0.0006, Val MAPE: 2.48%
Epoch [42/1000], Train Loss: 0.0001, Val Loss: 0.0002, Val MAPE: 1.52%
Epoch [43/1000], Train Loss: 0.0001, Val Loss: 0.0004, Val MAPE: 1.69%
Epoch [44/1000], Train Loss: 0.0001, Val Loss: 0.0010, Val MAPE: 3.53%
Epoch [45/1000], Train Loss: 0.0001, Val Loss: 0.0010, Val MAPE: 3.59%
Epoch [46/1000], Train Loss: 0.0001, Val Loss: 0.0004, Val MAPE: 1.89%
Epoch [47/1000], Train Loss: 0.0000, Val Loss: 0.0004, Val MAPE: 1.88%
Epoch [48/1000], Train Loss: 0.0000, Val Loss: 0.0002, Val MAPE: 1.32%
Epoch [49/1000], Train Loss: 0.0000, Val Loss: 0.0002, Val MAPE: 1.38%
Epoch [50/1000], Train Loss: 0.0000, Val Loss: 0.0004, Val MAPE: 2.20%
Epoch [51/1000], Train Loss: 0.0000, Val Loss: 0.0001, Val MAPE: 0.93%
Epoch [52/1000], Train Loss: 0.0000, Val Loss: 0.0001, Val MAPE: 1.46%
Epoch [53/1000], Train Loss: 0.0000, Val Loss: 0.0001, Val MAPE: 0.97%
Epoch [54/1000], Train Loss: 0.0000, Val Loss: 0.0002, Val MAPE: 1.38%
Epoch [55/1000], Train Loss: 0.0000, Val Loss: 0.0007, Val MAPE: 3.21%
Epoch [56/1000], Train Loss: 0.0000, Val Loss: 0.0002, Val MAPE: 1.30%
Epoch [57/1000], Train Loss: 0.0000, Val Loss: 0.0005, Val MAPE: 2.56%
Epoch [58/1000], Train Loss: 0.0000, Val Loss: 0.0001, Val MAPE: 0.85%
Epoch [59/1000], Train Loss: 0.0000, Val Loss: 0.0003, Val MAPE: 1.64%
Epoch [60/1000], Train Loss: 0.0000, Val Loss: 0.0001, Val MAPE: 0.87%
Epoch [61/1000], Train Loss: 0.0000, Val Loss: 0.0002, Val MAPE: 1.33%
Epoch [62/1000], Train Loss: 0.0000, Val Loss: 0.0002, Val MAPE: 1.59%
Epoch [63/1000], Train Loss: 0.0000, Val Loss: 0.0001, Val MAPE: 0.79%
Epoch [64/1000], Train Loss: 0.0000, Val Loss: 0.0001, Val MAPE: 0.97%
Epoch [65/1000], Train Loss: 0.0000, Val Loss: 0.0002, Val MAPE: 1.01%
Epoch [66/1000], Train Loss: 0.0000, Val Loss: 0.0002, Val MAPE: 1.35%
Epoch [67/1000], Train Loss: 0.0000, Val Loss: 0.0003, Val MAPE: 1.53%
Epoch [68/1000], Train Loss: 0.0000, Val Loss: 0.0001, Val MAPE: 0.92%
Epoch [69/1000], Train Loss: 0.0000, Val Loss: 0.0003, Val MAPE: 1.69%
Epoch [70/1000], Train Loss: 0.0000, Val Loss: 0.0003, Val MAPE: 1.87%
Epoch [71/1000], Train Loss: 0.0000, Val Loss: 0.0002, Val MAPE: 1.07%
Epoch [72/1000], Train Loss: 0.0000, Val Loss: 0.0001, Val MAPE: 0.96%
Epoch [73/1000], Train Loss: 0.0000, Val Loss: 0.0002, Val MAPE: 1.19%
Epoch [74/1000], Train Loss: 0.0000, Val Loss: 0.0002, Val MAPE: 1.25%
Epoch [75/1000], Train Loss: 0.0000, Val Loss: 0.0001, Val MAPE: 0.96%
Epoch [76/1000], Train Loss: 0.0000, Val Loss: 0.0003, Val MAPE: 1.41%
Epoch [77/1000], Train Loss: 0.0000, Val Loss: 0.0003, Val MAPE: 1.68%
Epoch [78/1000], Train Loss: 0.0000, Val Loss: 0.0002, Val MAPE: 1.43%
Epoch [79/1000], Train Loss: 0.0000, Val Loss: 0.0001, Val MAPE: 0.90%
Epoch [80/1000], Train Loss: 0.0000, Val Loss: 0.0002, Val MAPE: 1.40%
Epoch [81/1000], Train Loss: 0.0000, Val Loss: 0.0001, Val MAPE: 0.88%
Epoch [82/1000], Train Loss: 0.0000, Val Loss: 0.0002, Val MAPE: 1.43%
Epoch [83/1000], Train Loss: 0.0000, Val Loss: 0.0003, Val MAPE: 1.49%
Epoch [84/1000], Train Loss: 0.0000, Val Loss: 0.0001, Val MAPE: 0.92%
Epoch [85/1000], Train Loss: 0.0000, Val Loss: 0.0001, Val MAPE: 0.88%
Epoch [86/1000], Train Loss: 0.0000, Val Loss: 0.0001, Val MAPE: 0.88%
Epoch [87/1000], Train Loss: 0.0000, Val Loss: 0.0001, Val MAPE: 0.93%
Epoch [88/1000], Train Loss: 0.0000, Val Loss: 0.0002, Val MAPE: 1.18%
Epoch [89/1000], Train Loss: 0.0000, Val Loss: 0.0001, Val MAPE: 0.80%
Epoch [90/1000], Train Loss: 0.0000, Val Loss: 0.0002, Val MAPE: 1.33%
Epoch [91/1000], Train Loss: 0.0000, Val Loss: 0.0001, Val MAPE: 0.78%
Epoch [92/1000], Train Loss: 0.0000, Val Loss: 0.0001, Val MAPE: 0.80%
Epoch [93/1000], Train Loss: 0.0000, Val Loss: 0.0001, Val MAPE: 0.82%
Epoch [94/1000], Train Loss: 0.0000, Val Loss: 0.0003, Val MAPE: 1.87%
Epoch [95/1000], Train Loss: 0.0000, Val Loss: 0.0001, Val MAPE: 0.90%
Epoch [96/1000], Train Loss: 0.0000, Val Loss: 0.0001, Val MAPE: 1.01%
Epoch [97/1000], Train Loss: 0.0000, Val Loss: 0.0001, Val MAPE: 0.83%
Epoch [98/1000], Train Loss: 0.0000, Val Loss: 0.0001, Val MAPE: 0.88%
Epoch [99/1000], Train Loss: 0.0000, Val Loss: 0.0001, Val MAPE: 0.89%
Epoch [100/1000], Train Loss: 0.0000, Val Loss: 0.0001, Val MAPE: 0.69%
Epoch [101/1000], Train Loss: 0.0000, Val Loss: 0.0002, Val MAPE: 1.41%
Epoch [102/1000], Train Loss: 0.0000, Val Loss: 0.0001, Val MAPE: 0.84%
Epoch [103/1000], Train Loss: 0.0000, Val Loss: 0.0001, Val MAPE: 1.02%
Epoch [104/1000], Train Loss: 0.0000, Val Loss: 0.0001, Val MAPE: 0.95%
Epoch [105/1000], Train Loss: 0.0000, Val Loss: 0.0001, Val MAPE: 1.28%
Epoch [106/1000], Train Loss: 0.0000, Val Loss: 0.0002, Val MAPE: 1.61%
Epoch [107/1000], Train Loss: 0.0000, Val Loss: 0.0001, Val MAPE: 0.88%
Epoch [108/1000], Train Loss: 0.0000, Val Loss: 0.0001, Val MAPE: 0.95%
Epoch [109/1000], Train Loss: 0.0000, Val Loss: 0.0003, Val MAPE: 1.85%
Epoch [110/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.60%
Epoch [111/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.59%
Epoch [112/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.57%
Epoch [113/1000], Train Loss: 0.0000, Val Loss: 0.0001, Val MAPE: 1.20%
Epoch [114/1000], Train Loss: 0.0000, Val Loss: 0.0001, Val MAPE: 1.07%
Epoch [115/1000], Train Loss: 0.0000, Val Loss: 0.0001, Val MAPE: 0.75%
Epoch [116/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.55%
Epoch [117/1000], Train Loss: 0.0000, Val Loss: 0.0003, Val MAPE: 2.16%
Epoch [118/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.60%
Epoch [119/1000], Train Loss: 0.0000, Val Loss: 0.0001, Val MAPE: 0.78%
Epoch [120/1000], Train Loss: 0.0000, Val Loss: 0.0001, Val MAPE: 0.77%
Epoch [121/1000], Train Loss: 0.0000, Val Loss: 0.0001, Val MAPE: 1.27%
Epoch [122/1000], Train Loss: 0.0000, Val Loss: 0.0001, Val MAPE: 0.68%
Epoch [123/1000], Train Loss: 0.0000, Val Loss: 0.0001, Val MAPE: 1.07%
Epoch [124/1000], Train Loss: 0.0000, Val Loss: 0.0003, Val MAPE: 1.91%
Epoch [125/1000], Train Loss: 0.0000, Val Loss: 0.0001, Val MAPE: 1.10%
Epoch [126/1000], Train Loss: 0.0000, Val Loss: 0.0001, Val MAPE: 0.77%
Epoch [127/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.54%
Epoch [128/1000], Train Loss: 0.0000, Val Loss: 0.0001, Val MAPE: 0.73%
Epoch [129/1000], Train Loss: 0.0000, Val Loss: 0.0001, Val MAPE: 0.74%
Epoch [130/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.51%
Epoch [131/1000], Train Loss: 0.0000, Val Loss: 0.0001, Val MAPE: 0.67%
Epoch [132/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.49%
Epoch [133/1000], Train Loss: 0.0000, Val Loss: 0.0001, Val MAPE: 0.85%
Epoch [134/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.53%
Epoch [135/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.50%
Epoch [136/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.53%
Epoch [137/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.43%
Epoch [138/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.54%
Epoch [139/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.45%
Epoch [140/1000], Train Loss: 0.0000, Val Loss: 0.0001, Val MAPE: 1.16%
Epoch [141/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.57%
Epoch [142/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.52%
Epoch [143/1000], Train Loss: 0.0000, Val Loss: 0.0001, Val MAPE: 0.80%
Epoch [144/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.39%
Epoch [145/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.39%
Epoch [146/1000], Train Loss: 0.0000, Val Loss: 0.0001, Val MAPE: 0.72%
Epoch [147/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.47%
Epoch [148/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.52%
Epoch [149/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.42%
Epoch [150/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.50%
Epoch [151/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.61%
Epoch [152/1000], Train Loss: 0.0000, Val Loss: 0.0000, Val MAPE: 0.41%
Epoch [153/1000], Train Loss: 0.0000, Val Loss: 0.0001, Val MAPE: 0.79%
Epoch [154/1000], Train Loss: 0.0000, Val Loss: 0.0001, Val MAPE: 1.35%
