Epoch [1/100], Train Loss: 0.0470, Val Loss: 0.0772, Val MAPE: 34.89%
Epoch [2/100], Train Loss: 0.0041, Val Loss: 0.0077, Val MAPE: 9.41%
Epoch [3/100], Train Loss: 0.0007, Val Loss: 0.0007, Val MAPE: 2.80%
Epoch [4/100], Train Loss: 0.0004, Val Loss: 0.0017, Val MAPE: 3.83%
Epoch [5/100], Train Loss: 0.0003, Val Loss: 0.0044, Val MAPE: 6.23%
Epoch [6/100], Train Loss: 0.0003, Val Loss: 0.0057, Val MAPE: 7.06%
Epoch [7/100], Train Loss: 0.0003, Val Loss: 0.0067, Val MAPE: 7.70%
Epoch [8/100], Train Loss: 0.0003, Val Loss: 0.0079, Val MAPE: 8.88%
Epoch [9/100], Train Loss: 0.0003, Val Loss: 0.0059, Val MAPE: 7.08%
Epoch [10/100], Train Loss: 0.0003, Val Loss: 0.0057, Val MAPE: 6.87%
Epoch [11/100], Train Loss: 0.0003, Val Loss: 0.0073, Val MAPE: 8.39%
Epoch [12/100], Train Loss: 0.0002, Val Loss: 0.0059, Val MAPE: 7.30%
Epoch [13/100], Train Loss: 0.0003, Val Loss: 0.0060, Val MAPE: 7.42%
Epoch [14/100], Train Loss: 0.0002, Val Loss: 0.0046, Val MAPE: 6.16%
Epoch [15/100], Train Loss: 0.0003, Val Loss: 0.0044, Val MAPE: 6.01%
Epoch [16/100], Train Loss: 0.0003, Val Loss: 0.0047, Val MAPE: 6.30%
Epoch [17/100], Train Loss: 0.0002, Val Loss: 0.0038, Val MAPE: 5.55%
Epoch [18/100], Train Loss: 0.0002, Val Loss: 0.0049, Val MAPE: 6.68%
Epoch [19/100], Train Loss: 0.0003, Val Loss: 0.0070, Val MAPE: 8.88%
Epoch [20/100], Train Loss: 0.0003, Val Loss: 0.0043, Val MAPE: 6.07%
Epoch [21/100], Train Loss: 0.0002, Val Loss: 0.0052, Val MAPE: 7.06%
Epoch [22/100], Train Loss: 0.0002, Val Loss: 0.0050, Val MAPE: 6.86%
Epoch [23/100], Train Loss: 0.0002, Val Loss: 0.0049, Val MAPE: 6.90%
Epoch [24/100], Train Loss: 0.0002, Val Loss: 0.0046, Val MAPE: 6.64%
Epoch [25/100], Train Loss: 0.0002, Val Loss: 0.0044, Val MAPE: 6.49%
Epoch [26/100], Train Loss: 0.0002, Val Loss: 0.0039, Val MAPE: 5.88%
Epoch [27/100], Train Loss: 0.0002, Val Loss: 0.0029, Val MAPE: 4.94%
Epoch [28/100], Train Loss: 0.0002, Val Loss: 0.0046, Val MAPE: 6.80%
Epoch [29/100], Train Loss: 0.0003, Val Loss: 0.0029, Val MAPE: 4.98%
Epoch [30/100], Train Loss: 0.0003, Val Loss: 0.0037, Val MAPE: 5.85%
Epoch [31/100], Train Loss: 0.0002, Val Loss: 0.0025, Val MAPE: 4.64%
Epoch [32/100], Train Loss: 0.0002, Val Loss: 0.0025, Val MAPE: 4.50%
Epoch [33/100], Train Loss: 0.0002, Val Loss: 0.0023, Val MAPE: 4.36%
Epoch [34/100], Train Loss: 0.0002, Val Loss: 0.0027, Val MAPE: 4.86%
Epoch [35/100], Train Loss: 0.0002, Val Loss: 0.0045, Val MAPE: 6.99%
Epoch [36/100], Train Loss: 0.0002, Val Loss: 0.0040, Val MAPE: 6.46%
Epoch [37/100], Train Loss: 0.0002, Val Loss: 0.0024, Val MAPE: 4.58%
Epoch [38/100], Train Loss: 0.0002, Val Loss: 0.0052, Val MAPE: 7.99%
Epoch [39/100], Train Loss: 0.0002, Val Loss: 0.0036, Val MAPE: 6.06%
Epoch [40/100], Train Loss: 0.0002, Val Loss: 0.0016, Val MAPE: 3.59%
Epoch [41/100], Train Loss: 0.0002, Val Loss: 0.0025, Val MAPE: 4.85%
Epoch [42/100], Train Loss: 0.0002, Val Loss: 0.0034, Val MAPE: 5.95%
Epoch [43/100], Train Loss: 0.0002, Val Loss: 0.0017, Val MAPE: 3.79%
Epoch [44/100], Train Loss: 0.0002, Val Loss: 0.0018, Val MAPE: 3.84%
Epoch [45/100], Train Loss: 0.0002, Val Loss: 0.0019, Val MAPE: 4.13%
Epoch [46/100], Train Loss: 0.0002, Val Loss: 0.0016, Val MAPE: 3.64%
Epoch [47/100], Train Loss: 0.0002, Val Loss: 0.0012, Val MAPE: 3.16%
Epoch [48/100], Train Loss: 0.0002, Val Loss: 0.0026, Val MAPE: 5.03%
Epoch [49/100], Train Loss: 0.0002, Val Loss: 0.0014, Val MAPE: 3.45%
Epoch [50/100], Train Loss: 0.0002, Val Loss: 0.0011, Val MAPE: 3.02%
Epoch [51/100], Train Loss: 0.0002, Val Loss: 0.0017, Val MAPE: 3.95%
Epoch [52/100], Train Loss: 0.0002, Val Loss: 0.0010, Val MAPE: 2.95%
Epoch [53/100], Train Loss: 0.0002, Val Loss: 0.0020, Val MAPE: 4.39%
Epoch [54/100], Train Loss: 0.0002, Val Loss: 0.0025, Val MAPE: 5.16%
Epoch [55/100], Train Loss: 0.0002, Val Loss: 0.0028, Val MAPE: 5.59%
Epoch [56/100], Train Loss: 0.0002, Val Loss: 0.0015, Val MAPE: 3.62%
Epoch [57/100], Train Loss: 0.0002, Val Loss: 0.0009, Val MAPE: 2.82%
Epoch [58/100], Train Loss: 0.0002, Val Loss: 0.0010, Val MAPE: 2.97%
Epoch [59/100], Train Loss: 0.0002, Val Loss: 0.0008, Val MAPE: 2.63%
Epoch [60/100], Train Loss: 0.0002, Val Loss: 0.0009, Val MAPE: 2.76%
Epoch [61/100], Train Loss: 0.0002, Val Loss: 0.0019, Val MAPE: 4.26%
Epoch [62/100], Train Loss: 0.0002, Val Loss: 0.0013, Val MAPE: 3.43%
Epoch [63/100], Train Loss: 0.0002, Val Loss: 0.0008, Val MAPE: 2.62%
Epoch [64/100], Train Loss: 0.0002, Val Loss: 0.0006, Val MAPE: 2.40%
Epoch [65/100], Train Loss: 0.0002, Val Loss: 0.0011, Val MAPE: 3.04%
Epoch [66/100], Train Loss: 0.0002, Val Loss: 0.0005, Val MAPE: 2.32%
Epoch [67/100], Train Loss: 0.0002, Val Loss: 0.0008, Val MAPE: 2.52%
Epoch [68/100], Train Loss: 0.0002, Val Loss: 0.0012, Val MAPE: 3.39%
Epoch [69/100], Train Loss: 0.0001, Val Loss: 0.0008, Val MAPE: 2.53%
Epoch [70/100], Train Loss: 0.0001, Val Loss: 0.0006, Val MAPE: 2.27%
Epoch [71/100], Train Loss: 0.0002, Val Loss: 0.0006, Val MAPE: 2.27%
Epoch [72/100], Train Loss: 0.0001, Val Loss: 0.0012, Val MAPE: 3.44%
Epoch [73/100], Train Loss: 0.0001, Val Loss: 0.0014, Val MAPE: 3.90%
Epoch [74/100], Train Loss: 0.0001, Val Loss: 0.0011, Val MAPE: 3.20%
Epoch [75/100], Train Loss: 0.0002, Val Loss: 0.0015, Val MAPE: 3.93%
Epoch [76/100], Train Loss: 0.0001, Val Loss: 0.0011, Val MAPE: 3.28%
Epoch [77/100], Train Loss: 0.0001, Val Loss: 0.0005, Val MAPE: 2.09%
Epoch [78/100], Train Loss: 0.0001, Val Loss: 0.0004, Val MAPE: 1.93%
Epoch [79/100], Train Loss: 0.0001, Val Loss: 0.0010, Val MAPE: 3.17%
Epoch [80/100], Train Loss: 0.0001, Val Loss: 0.0017, Val MAPE: 4.31%
Epoch [81/100], Train Loss: 0.0001, Val Loss: 0.0008, Val MAPE: 2.72%
Epoch [82/100], Train Loss: 0.0002, Val Loss: 0.0040, Val MAPE: 7.60%
Epoch [83/100], Train Loss: 0.0002, Val Loss: 0.0006, Val MAPE: 2.21%
